ORDER,DOMAIN,TOKEN,SOURCE,DISTANCE
1,DEVELOPMENTAL,attention_deficit_hyperactivity_disorder,Lexicon,0.3114817341245727
1,DEVELOPMENTAL,hyperactivity_disorder,Lexicon,0.3520796612990432
1,DEVELOPMENTAL,attention_deficithyperactivity_disorder,DSM,0.35640887770460183
1,DEVELOPMENTAL,autism_spectrum_disorder,DSM,0.3630707311892577
1,DEVELOPMENTAL,neurodevelopmental_disorder,DSM,0.3711478734969613
1,DEVELOPMENTAL,tourette_disorder,Lexicon,0.37463369344686936
1,DEVELOPMENTAL,developmental_coordination_disorder,DSM,0.37560507432412915
1,DEVELOPMENTAL,attentiondeficithyperactivity_disorder,DSM,0.38941037846160254
1,DEVELOPMENTAL,attentiondeficit_hyperactivity_disorder,DSM,0.3919798420917603
1,DEVELOPMENTAL,intellectual_disability,DSM,0.3953228279109654
1,DEVELOPMENTAL,learning_disability,Lexicon,0.40196140465774877
1,DEVELOPMENTAL,attention_deficit_disorder,Lexicon,0.41376533701068197
1,DEVELOPMENTAL,language_disorder,DSM,0.428327520229129
1,DEVELOPMENTAL,global_developmental_delay,DSM,0.43817849402451803
1,DEVELOPMENTAL,mental_retardation,Lexicon,0.4594235715243389
1,DEVELOPMENTAL,tourette_syndrome,Lexicon,0.4609216909252837
1,DEVELOPMENTAL,learning_disorder,Lexicon,0.4640175505164351
1,DEVELOPMENTAL,adhd,DSM,0.46548099490688455
1,DEVELOPMENTAL,attentiondeficit,Lexicon,0.47986705352616355
1,DEVELOPMENTAL,behavioral_problem,Lexicon,0.48705139048644597
1,DEVELOPMENTAL,developmental_disorder,Lexicon,0.4904086703864343
1,DEVELOPMENTAL,asperger_disorder,Lexicon,0.4906702969261826
1,DEVELOPMENTAL,language_development,Lexicon,0.49234243796075405
1,DEVELOPMENTAL,social_communication,Lexicon,0.49658847021435515
1,DEVELOPMENTAL,aspergers_syndrome,Lexicon,0.4991184009301699
8,PSYCHOTIC,schizoaffective_disorder,DSM,0.1243158879382813
8,PSYCHOTIC,psychotic_disorder,DSM,0.1780228802279824
8,PSYCHOTIC,schizophreniform_disorder,DSM,0.18159948554686334
8,PSYCHOTIC,delusional_disorder,DSM,0.23670160656251493
8,PSYCHOTIC,schizophreniform,Lexicon,0.2873741957710023
8,PSYCHOTIC,schizoaffective,Lexicon,0.3072906648130971
8,PSYCHOTIC,brief_psychotic_disorder,DSM,0.3555684814058566
8,PSYCHOTIC,schizotypal_personality_disorder,DSM,0.397962053540293
8,PSYCHOTIC,psychotic,Lexicon,0.40466906230567445
8,PSYCHOTIC,affective_psychosis,Lexicon,0.4111217667655451
8,PSYCHOTIC,no,Lexicon,0.4334570968542075
8,PSYCHOTIC,psychosis,Lexicon,0.4449321770925375
8,PSYCHOTIC,schizophrenia,DSM,0.45780059179662613
8,PSYCHOTIC,schizotypal,Lexicon,0.4629105264888923
